DocID,Title,WikiID,U1 In,U1 Out,U2 In,U2 Out
140,VAX 8000,19885929,"FPA;floating point accelerator
MCAs;macrocell arrays
MOS;metal oxide semiconductor
DMA;direct memory access
TTL;transistor-transistor logic
SBI;synchronous backplane interconnect
TOY;time-of-year
DRAM;dynamic random access memory
MSI;medium scale integration
RTI;real-time interface
ISA;instruction set architecture
ICs;integrated circuits
ALU;arithmetic logic unit
EMM;environmental monitoring module
ECL;emitter coupled logic
SSI;small scale integration
CPU;central processing unit
PPI;peripheral interface
DEC;digital equipment corporation","NMI;non-maskable interrupt
Unibus;unified bus
VAXBI;vax bus interconnect
MB;megabyte
NBIB;northbound interface b
VAX-11/785;virtual address extension-11/785
VAX-11/78x;virtual address extension-11/78x
VAX-11/780;virtual address extension-11/780
MOSAIC;motorola oxide isolated self-aligned implanted circuits
VAX-11/795;virtual address extension-11/795
FAST;fairchild advanced schottky ttl
VAX-11/790;virtual address extension-11/790
SMP;symmetric multiprocessing
NBI;northbound interface
MIPS;microprocessor without interlocked pipelined stages
nops;no operations
KB;kilobyte
IEEE-488;institute of electrical and electronics engineers-488
MB/s;megabyte per second
KBit;kilobit
MHz;megahertz
RAMs;random-access memories
ns;nanosecond
PRO-380;professional 380
SPARC;scalable processor architecture
ECC;error correction code memory
VAX;virtual address extension
I/O;input/output
µm;micrometre
PDP-11;programmed data processor-11
NBIA;northbound interface a","FPA;floating point accelerator
MCAs;macrocell arrays
MOS;metal oxide semiconductor
ECL;emitter-coupled logic
TTL;transistor-transistor logic
SBI;synchronous backplane interconnect
MSI;medium-scale integration
DRAM;dynamic random access memory
DMA;direct memory access
TOY clock;time-of-year clock
MSI;medium scale integration
RTI;real-time interface
ISA;instruction set architecture
ALU;arithmetic logic unit
EMM;environmental monitoring module
ECL;emitter coupled logic
SSI;small scale integration
CPU;central processing unit
PPI;peripheral interface
DEC;digital equipment corporation","MB/s;megabyte per second
SMP;symmetric multiprocessing
NMI;non-maskable interrupt
NBI;northbound interface
MHz;megahertz
MB;megabyte
ns;nanoseconds
SBIs;synchronous backplane interconnects
PPD-11;programmed data processor-11
MIPS;microprocessor without interlocked pipelined stages
ICs;internet connection sharing
ECC;error correction code
CPUs;central processing units
SPARC;scalable processor architecture
IEEE;institute of electrical and electronics engineers
V-11;version
I/O;input/output
KB;kilobyte
µm;micrometre"
141,MSML,14481885,"MediaCTRL;media control
MSML;media server markup language","IP;internet protocol
RadiSys;radix microsystems
VoiceXML;voice extensible markup language
XML;extensible markup language
IETF;internet engineering task force
IVR;interactive voice response
RTP;real-time transport protocol
SIP;session initiation protocol
MSCML;media server control markup language
RFC;request for comments
Intel;integrated electronics
NMS;nerviano medical sciences",MSML;media server markup language,"XML;extensible markup language.
IP;internet protocol
IETF;internet engineering task force
RTP;real-time transport protocol
SIP;session initiation protocol
MSCML;media server control markup language
RFC;request for comments"
142,Nostalgia 1907,22673170,,"FM;fujitsu micro
PC-8801;personal computer-8801
CD;compact disk",,"FM;fujitsu micro[computer]
PC-8801;personal computer-8801
Capcom;capsule communicator
CD;compact disc"
143,Parks–McClellan filter design algorithm,4882496,"IIR;infinite impulse response
FIR;finite impulse response","ASSP;application-specific standard product
DSP;digital signal processing
TMS;texas memory systems
MIT;massachusetts institute of technology
IEEE;institute of electrical and electronics engineers
Dr.;doctor
MATLAB;matrix laboratory
DFT/FFT;discrete fourier transform/fast fourier transform","IIR;infinite impulse response
FIR;finite impulse response","ASSP;application-specific standard product
DSP;digital signal processing
MIT;massachusetts institute of technology
TMS;texas instruments
IEEE;institute of electrical and electronics engineers
Dr.;doctor
FFT;fast fourier transform
MATLAB;matrix laboratory
S.;st. claire
DFT;discrete fourier transform"
144,Seed7,36346048,"HTTPS;hypertext transfer protocol secure
HTTP;hypertext transfer protocol
ODBC;open database connectivity
FTP;file transfer protocol
SMTP;simple mail transfer protocol
OO;object-oriented
CGI;common gateway interface
S7SSD;seed7 structured syntax description
TLS;transport layer security","etc;et cetera
SQL;structured query language
MySQL;my structured query language
PostgreSQL;postgre structured query language
XML;extensible markup language
MariaDB;maria database
API;application programming interface
SQLite;structured query lite
AES;advanced encryption standard","TLS/SSL;transport layer security
HTTP;hypertext transfer protocol
ODBC;open database connectivity
HTTPS;http secure
SMTP;simple mail transfer protocol
FTP;file transfer protocol
S7SSD;structured syntax description
CGI;common gateway interface",AES;advanced encryption standard
145,Grab (software),3385603,TIFF;tagged image file format,"PDF;portable document format
macOS;mac operating system
DRM;digital rights management
PNG;portable graphics format",TIFF;tagged image file format,"PDF;portable document format
PNG;portable network graphics
DRM;digital rights management"
146,ReDigi,34644641,"CTR;cost to read
U.S.;united states of america","i.e.;id est
vs.;versus
CD;compact disc
MIT;massachusetts institute of technology
Inc.;incorporated
EMI;electric and musical industries
AAC;advanced audio coding
RIAA;recording industry association of america
J.;joseph
v.;versus",CTR;cost to read,"RIIA;recording industry association of america
EMI;electric and musical industries
AAC;advanced audio coding
CD;compact disc"
147,Linutop,8920077,,"in;inch
Tv;television
MB;megabyte
oz;once
MHz;megahertz
USB;universal serial bus
OS;operating system
XS;extra small
HD;high definition
PC;personal computer
HDMI;high-definition multimedia interface
XFCE;xforms common environment
NOOBS;new out of box software
cm;centimetre
RAM;random access memory
LTSP;linux terminal server project
GB;gigabyte","PC;personal computer
OS;operating system","HD;high-definition
HDMI;high-definition multimedia interface
RAM;random-access memory
USB;universal serial bus"
148,EMML (Motorola),28270727,"EMML;enterprise mobility mark-up language
EMMP;emml profiles","CSS;cascading style sheets
W3C;world wide web consortium
URL;uniform resource locator
HTML;hypertext markup language
WLAN;wireless local area network",EMML;enterprise mobility mark-up language,"CSS;cascading style sheets
W3C;world wide web consortium
URL;uniform resource locator
EMMP;environmental monitoring and management plan
HTML;hyper text markup language
META;metadata
WLAN;wireless local area network"
149,Jürgen Moser,1752316,,"IMPA;instituto nacional de matemática pura e aplicada
MIT;massachusetts institute of technology
Ph.D;philosophiae doctor
ETH;eidgenössische technische hochschule",,"MIT;massachusetts institute of technology
PhD;doctor of philosophy
IMPA;instituto de matemática pura e aplicada
ETH;eidgenössische technische hochschule"
150,Satellite navigation device,17800413,"W;watt
GPS;global positioning system
DGPS;differential gps
A-GPS;assisted gps
TTFF;time to first fix
GNSS;global navigation satellite systems
SA;selective availability
MMCS;mitsubishi multi communication system
GLONASS;global navigation satellite system","Inc.;incorporation
GSM;global system for mobile communications 2g
dB;decibel
SD;secure digital card
USB;universal serial bus
USA;united states of america
PC;personal computer
WCDMA;wideband code division multiplexing access
dBW;decibel watt
PCMCIA;personal computer memory card international association
PDA;personal digital assistant
U.S.;united states
cm;centimeter
dBm;decibel-milliwatts","GPS;global positioning system
A-GPS;assisted gps
TTFF;time to first fix
GNSS;global navigation satellite systems
DGPS;differential global positioning system
MMCS;mitsubishi multi communication system
SA;selective availability
GLONASS;russian global navigation satellite system","WCDMA;wideband code division multiple access
PDA;personal digital assistants
Inc.;incorporated
dB;decibel
ms;millisecond
km;kilometer
USB;universal serial bus
US;united states
WiFi;wireless fidelity
dBW;decibel watt
SD;secure digital
U.S.;united states
PCMCIA;personal computer memory card international association
GSM;global system for mobile"
151,Decision Linear assumption,12765269,DLIN;decision linear,"i.e.;id est
IND-CPA;indistinguishability under chosen plaintext attack",DLIN;decision linear,i.e.;id est
152,Riak,29786161,NHS;uk national health services,"LevelDB;level database
CS;cloud storage
AT&T;american telephone and telegraph company
NoSQL;non-structured query language
CAP;consistency availability partition tolerance",,"CS;cloud storage
CAP;consistency availability partition tolerance
NoSQL;no structured query language"
153,Moodle,383472,"LMS;learning management system
Moodle;modular object-oriented dynamic learning environment","PHP;hypertext preprocessor
php;hypertext preprocessor
WebCT;web course tools
OS X;macintosh operating system x
Ph.D.;doctor of philosophy
HTTP;hypertext transfer protocol
webhost;web hosting
demo;demonstration
Moodlerooms Inc.;moodlerooms incorporated
HQ;headquarters
PostgreSQL;postgres structured query language
GNU;gnu's not unix
Demo;demonstration
iOS;iphone operating system
FreeBSD;free berkeley software distribution
UK;united kingdom
LMSs;learning management systems
U.S.;united states","LMS;learning management system
Moodle;modular object-oriented dynamic learning environment","Ph.D.;doctor of philosophy
HTTP;hypertext transfer protocol
GNU;gnu's not unix
UK;united kingdom
U.S.;united states
PHP;php: hypertext preprocessor"
154,Heather Marsh,37167897,,"G8;group of 8
FBI;federal bureau of investigation
POW;prisoner of war
Web;world wide web
70+;more than 70
a.k.a.;also known as
US;united states
WL;wikileaks
CIA;central intelligence agency
CNN;cable news network
NGO;non-governmental organization
DIA;defense intelligence agency",WL;wikileaks,"NGOs;non-governmental organizations
opCanary;operation canary
opGabon;operation gabon
FBI;federal bureau of investigation
POW;prioner of war
US;united states
OpDeathEaters;operation death eaters
CIA;central intelligence agency
CNN;cable news network
G8;group  of eight
DIA;defense intelligence agency"
155,Index of computing articles,99965,"PDF;portable document format
ERP;enterprise resource planning
ROM;read only memory
EDP;electronic data processing
PCM;pulse code modulation
EJB;enterprise java beans
2B+D;basic rate interface
EVD;enhanced versatile disc
RAM;random access memory
DEC;digital equipment corporation","32;32-bit
IBM;international business machines corporation
RISC;reduced instruction set computer
TR;technische richtlinie
4NF;fourth normal form
3NF;third normal form
MUMPS;massachusetts general hospital utility multi-programming system
VG;voice grade
8.3 filename;short filename
AIM;apple, ibm, and motorola
BC;before christ
TPU;text processing utility
K&R;the c programming language book
LALR;look-ahead left-to-right
4GL;fourth-generation programming language
GATE;general algebraic translator extended
PSPACE;polynomial space
TECO;text editor & corrector
CPL;combined programming language
2B1D;basic rate interface
82430MX;xscale
1TBS;the one true brace style
AOL;america online
SMIL;siffermaskinen i lund
CORAL;computer on-line real-time applications language
PA;precision architecture
SQL;structured query language
UART;universal asynchronous receiver/transmitter
6x86;cyrix 6x86
PC;personal computer
SPARC;scalable processor architecture
LL;left-to-right
BSD;berkeley software distribution
PL/I;programming language one
EBCDIC;extended binary coded decimal interchange code
PDP;programmed data processor
G4;powerpc g4
ENIAC;electronic numerical integrator and computer
sed;stream editor
Nial;nested interactive array language
T;twisted pair
GEM;graphics environment manager
WYSIWYG;what you see is what you get
473L system;ibm 473l command and control system
82430FX;triton i
API;application programming interfaces
ASP;active server pages
64;64-bit
UAT;user acceptance testing
YACC;yet another compiler-compiler
SIMD;single instruction, multiple data
5NF;fifth normal form
2B1Q;two-binary, one-quaternary
9PAC;709 package
PILOT;programmed inquiry, learning, or teaching
Multics;multiplexed information and computing service
SPITBOL;speedy implementation of snobol
JPEG;joint photographic experts group
COMAL;common algorithmic language
INTERCAL;compiler language with no pronounceable acronym
RFC;request for comments
ML;meta language
SONET;synchronous optical networking
100;100 megabits per second
hn;home networking
COBOL;common business-oriented language
BCPL;basic combined programming language
SNOBOL;string oriented and symbolic language
MMC;multimediacard
SLR;simple left-to-right
2NF;second normal form
SMBus;system management bus
CYK;cocke–younger–kasami
CD-ROM;compact disc read-only memory
SR;synchronizing resources
SCSI;small computer system interface
MAD;michigan algorithm decoder
AIX;advanced interactive executive
MS-DOS;microsoft disk operating system
SLIP;serial line internet protocol
82430HX;triton ii
ES EVM;единая система электронных вычислительных машин
USB;universal serial bus
G5;powerpc 970
Mac;macintosh
KDE;k(ool) desktop environment
3D;three dimensional
TADS;text adventure development system
Rexx;restructured extended executor
a.k.a.;also known as
3GL;third-generation programming language
BASE;baseband signaling
SAIL;stanford artificial intelligence language
IA;intel architecture
S/SL;syntax/semantic language
CP/M;control program for microcomputers
ME;millennium edition
88open;88open consortium ltd.
10;10 megabits per second
MOO;mud, object-oriented
680x0;motorola 68000 series
F;fiber
LR;left-to-right
BASIC;beginners' all-purpose symbolic instruction code
IEEE;institute of electrical and electronics engineers
DVD;digital video disc
YaST;yet another setup tool
DIBOL;digital's business oriented language
TRAC;text reckoning and compiling
MMU;memory management unit
MPEG;moving picture experts group
3Com;computer communication compatibility
SSL;secure sockets layer
2D;two-dimensional
kbit/s;kilobits per second
MOS;metal oxide semiconductor
ESS;electronic switching system
ALGOL;algorithmic language
OS;operating system
1NF;first normal form
HD DVD;high definition digital versatile disc
VB;visual basic
ASCII;american standard code for information interchange
DVI;device independent file format","RAM;random-access memory
ROM;read-only memory
AOL;america online","SYSKEY;security account manager lock tool
IBM;international business machines corporation
RISC;reduced instruction set computer
SNOBOL;string oriented and symbolic language
4NF;fourth normal form
3NF;third normal form
SETL;set language
AIM;apple, ibm, motorola
sed;stream editor
4.2BSD;4.2 berkeley software distribution
2NF;second normal form
SMBus;system management bus
Tcl;tool command language
APL;a programming language
Ratfor;rational fortran
WYSIWYG;what you see is what you get
RS/6000;ibm reduced instruction set computer system/6000
YaST;yet another setup tool
SCSI;small computer system interface
Symlink;symbolic link
UAT;user acceptance testing
SIMD;single instruction, multiple data
386SPART.PAR;386 swap part file
5NF;fifth normal form
AIX;advanced interactive executive
TPU;text processing unit
2B1Q;two-binary, one-quaternary
SLIP;serial line internet protocol
4GL;fourth-generation programming language
TECO;text editor & corrector
USB;universal serial bus
RPG;report program generator
SPITBOL;speedy implementation of snobol
AWK;aho, weinberger, kernighan domain specific language
Unicode;universal character encoding standard
SR;synchronizing resources programming language
TADS;text adventure development system
Windows Me;windows millenium edition
SLR;simple left-to-right parser
Rexx;restructured extended executor
1TBS;the one true brace style
3GL;third-generation programming language
Yacc;yet another compiler-compiler
SSL;secure sockets layer
AutoLISP;autocad list processor
kbit/s;kilobits per second
RFC;request for comments
SMIL;siffermaskinen i lund computer
TeX;tau, epsilon, and chi
Unicon;unified extended dialect of icon
S/SL;syntax/semantic language
386BSD;386 berkeley software distribution
SONET;synchronous optical networking
TRAC;text reckoning and compiling programming language
UNIX;uniplexed information and computing service
SQL;structured query language
VBScript;microsoft visual basic scripting edition
5ESS;class 5 telephone electronic switching system
UART;universal asynchronous receiver/transmitter
ALGOL;algorithmic language
1NF;first normal form
ASP.NET;active server pages
VAX;virtual address extension
ASCII;american standard code for information interchange
RCA;radio corporation of america
1.TR.6;1.technische richtlinie.6"
156,Transceiver,41805,"SWL;shortwave listening
MAUs;medium attachment units
CB radio;citizens band radio","QSFP;quad small form-factor pluggable
SFP;small form-factor pluggable
IEEE;institute of electrical and electronics engineers
GBIC;gigabit interface converter
CFP;c form-factor pluggable
SFP+;enchanced small form-factor pluggable","SWL;shortwave listening
MAUs;medium attachment units
CB radio;citizens band radio","QSFP;quad small form-factor pluggable
SFP;small form-factor pluggable
IEEE;institute of electrical and electronics engineers
GBIC;gigabit interface converter
CFP;c form-factor pluggable
SFP+;enchanced small form-factor pluggable"
157,JPEG XT,56741458,"APP11;application marker 11
IDR;intermediate dynamic range
JFIF;jpeg file interchange format
DCT;discrete cosine transform
JPEG;joint photographic experts group","JPEG-LS;joint photographic experts group-lossless
RGBE;radiance hdr
JPEG/JFIF;joint photographic experts group/joint photography experts group file interchange format
JPEG-HDR;joint photographic experts group-high dynamic range
PNG;portable network graphics
EOTF;electro-optical transfer function
ITU;international telecommunication union
JPEG2000;joint photographic experts group 2000
ISO/IEC;international organization for standardization/international electrotechnical commission
HDR;high dynamic range
KB;kilobyte
ISO;international organization","APP11;application marker 11
DCT;intermediate dynamic range
IDR;intermediate dynamic range
JFIF;jpeg file interchange format
JPEG;joint photography experts group","JPEG/JFIF;joint photographic experts group/joint photography experts group file interchange format
RGBE;red, green, blue, exponent
JPEG-HDR;joint photographic experts group-high dynamic range
PNG;portable network graphics
EOTF;electro-optical transfer function
ITU;international telecommunication union
JPEG2000;joint photographic experts group 2000
ISO/IEC;international organization for standardization/international electrotechnical commission
ISO;international organization for standardization
HDR;high dynamic range
KB;kilobyte
JPEG-LS;joint photography experts group-lossless"
158,Klipfolio dashboard,13161836,"KPI;key performance indicators
CXO;chief experience officer","CSS;cascading style sheets
Inc.;incorporated
TV;television
CEO;chief executive officer,
HTTP;hypertext transfer protocol
XML;extensible markup language
CTO;chief technology officer
RSS;really simple syndication","KPI;key performance indicators
CXO;chief experience officer","CEO;chief executive officer
CTO;chief technical officer
CSS-based;cascading style sheets-based
email;electronic mail
TV;television
HTTP;hypertext transfer protocol
RSS;rdf site summary
XML;extensible markup language
KB;kilobyte"
159,OASIS TOSCA,42257995,"TOSCA;topology and orchestration specification for cloud applications
Alien4Cloud;application lifecycle enabler for cloud","AWS;amazon web services
OASIS;organization for the advancement of structured information standard
H2020;horizon 2020
JSON;javascript object notation
YAML;yaml ain't markup language
EU;european union
DICE;data infrastructure capacity for eosc
FP7;seventh framework programme","TOSCA;topology and orchestration specification for cloud applications
Alien4Cloud;application lifecycle enabler for cloud","i.e.;id est
FP7;framework programme 7
AWS;amazon web services
DevOps;development operations
H2020;horizon 2020
JSON;javascript object notation
YAML;yaml ain't markup language
DICE;developing innovation and creativity in education
EU;european union
OASIS;organization for the advancement of structured information standards
etc.;et cetera"
160,Juniper Networks,675426,"SDN;software-defined networking
WAN;wide area network
IOP;integrated operating plan
ISPs;internet service providers
PARC;palo alto research center","CEO;chief executive officer
ScreenOS;screen operating system
IP;internet protocol
NASDAQ;national association of securities dealers automated quotations
IBM;international business machines
SSL/VPN;secure sockets layer/virtual private network
VOIP;voice over ip
R&D;research and development
MCI;microwave communications, inc.
LAN;local area network
US;united states
AT&T;american telephone and telegraph company
Microsoft;microcomputer software
IT;information technology
WLAN;wireless local area network","SDN;software-defined networking
WAN;wide area network
IOP;integrated operating plan
ISPs;internet service providers
PARC;palo alto research center","CEO;chief executive officer
ScreenOS;screen operating system
IP;internet protocol
NASDAQ;national association of securities dealers automated quotations
SSL/VPN;secure sockets layer/virtual private network
IBM;international business machines
VOIP;voice over ip
R&D;research and development
MCI;microwave communications, inc.
LAN;local area network
US;united states
AT&T;american telephone and telegraph company
Microsoft;microcomputer software
IT;information technology
WLAN;wireless local area network"
161,Migme,30668772,"MIG;migme limited
ASX;australian securities exchange","e-Commerce;electronic commerce
J2ME-based;java 2 platform, micro edition-based
WAP;wireless application protocol
FIH;foxconn interantional holdings
WKN;wertpapierkennnummer","MIG;migme limited
ASX;australian securities exchange","e-Commerce;electronic commerce
J2ME-based;java 2 platform, micro edition-based
WAP;wireless application protocol
FIH;foxconn interantional holdings
WKN;wertpapierkennnummer"
162,The Open Group,57819,"CA;certified architect
NASPL;north american state lotteries association
CITS;certified it specialist
OSF;open software foundation","NASA;national aeronautics and space administration
IBM;international business machines
TOGAF;the open group architecture framework
Unix;uniplexed information and computing service
POSIX;portable operating system interface
COSE;common open software environment
FAIR;factor analysis of information risk
HPE;hewlett packard enterprise
IT;information technology
U.S.;united states","CA;certified architect
NASPL;north american state lotteries association
CITS;certified it specialist
OSF;open software foundation","NASA;national aeronautics and space administration
IBM;international business machines
TOGAF;the open group architecture framework
Unix;uniplexed information and computing service
POSIX;portable operating system interface
FAIR;factor analysis of information risk
COSE;common open software environment
HPE;hewlett packard enterprise
IT;information technology
U.S.;united states"
163,Dynamic frequency selection,7412738,DFS;dynamic frequency selection,"FCC;federal communications commission
MHz;megahertz
Wi-Fi;wireless-fidelity
LAN;local area network
U-NII;unlicensed national information infrastructure
GHz;gigahertz",DFS;dynamic frequency selection,"FCC;federal communications commission
MHz;megahertz
IEEE;institute of electrical and electronics engineers
LAN;local area network
U-NII;unlicensed national information infrastructure
GHz;gigahertz
Wi-Fi;wireless fidelity"
